epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.1752,0.94017,0.77251,1,0.63693,0.000414916,0.000414916,0.000414916
2,20.005,0.60842,0.77962,1,0.51261,0.00082335,0.00082335,0.00082335
3,29.1573,0.58028,0.85308,1,0.39718,0.00122353,0.00122353,0.00122353
4,38.3579,0.56079,0.85308,1,0.5204,0.00121287,0.00121287,0.00121287
5,47.8289,0.52528,0.83886,1,0.42763,0.0012005,0.0012005,0.0012005
6,57.0222,0.46945,0.89336,1,0.30368,0.00118812,0.00118812,0.00118812
7,66.1038,0.42215,0.87915,1,0.30129,0.00117575,0.00117575,0.00117575
8,75.3875,0.41411,0.88389,1,0.32679,0.00116337,0.00116337,0.00116337
9,84.9573,0.37453,0.8436,1,0.35863,0.001151,0.001151,0.001151
10,95.8268,0.38623,0.87204,1,0.35345,0.00113863,0.00113863,0.00113863
11,107.334,0.35297,0.86967,1,0.36984,0.00112625,0.00112625,0.00112625
12,121.517,0.35059,0.88152,1,0.33063,0.00111388,0.00111388,0.00111388
13,135.468,0.34776,0.88863,1,0.30453,0.0011015,0.0011015,0.0011015
14,148.85,0.30996,0.891,1,0.2768,0.00108913,0.00108913,0.00108913
15,163.053,0.31554,0.87441,1,0.36208,0.00107675,0.00107675,0.00107675
16,176.039,0.31695,0.88863,1,0.28162,0.00106437,0.00106437,0.00106437
17,188.265,0.30748,0.86493,1,0.35669,0.001052,0.001052,0.001052
18,200.551,0.2833,0.90995,1,0.3007,0.00103962,0.00103962,0.00103962
19,213.693,0.29335,0.88389,1,0.29813,0.00102725,0.00102725,0.00102725
20,226.59,0.29212,0.90047,1,0.30779,0.00101488,0.00101488,0.00101488
21,238.613,0.2718,0.88863,1,0.32312,0.0010025,0.0010025,0.0010025
22,251.882,0.28731,0.88626,1,0.29682,0.000990125,0.000990125,0.000990125
23,265.346,0.26992,0.89573,1,0.29722,0.00097775,0.00097775,0.00097775
24,277.99,0.25462,0.88863,1,0.31637,0.000965375,0.000965375,0.000965375
25,290.501,0.24713,0.88626,1,0.39027,0.000953,0.000953,0.000953
26,302.696,0.24467,0.91232,1,0.27672,0.000940625,0.000940625,0.000940625
27,315.587,0.23463,0.88389,1,0.29199,0.00092825,0.00092825,0.00092825
28,328.258,0.233,0.90758,1,0.2352,0.000915875,0.000915875,0.000915875
29,340.452,0.23435,0.90758,1,0.23952,0.0009035,0.0009035,0.0009035
30,352.646,0.21468,0.91232,1,0.24908,0.000891125,0.000891125,0.000891125
31,365.448,0.23868,0.90284,1,0.24455,0.00087875,0.00087875,0.00087875
32,378.303,0.20896,0.8981,1,0.30978,0.000866375,0.000866375,0.000866375
33,390.532,0.20699,0.89336,1,0.26757,0.000854,0.000854,0.000854
34,402.109,0.19891,0.89573,1,0.34347,0.000841625,0.000841625,0.000841625
35,413.839,0.20695,0.90284,1,0.29529,0.00082925,0.00082925,0.00082925
36,425.93,0.20231,0.88626,1,0.3306,0.000816875,0.000816875,0.000816875
37,437.989,0.20271,0.88863,1,0.2716,0.0008045,0.0008045,0.0008045
38,450.101,0.20675,0.891,1,0.36953,0.000792125,0.000792125,0.000792125
39,462.69,0.19661,0.89573,1,0.29358,0.00077975,0.00077975,0.00077975
40,476.789,0.19314,0.891,1,0.27944,0.000767375,0.000767375,0.000767375
41,490.453,0.17638,0.88626,1,0.31106,0.000755,0.000755,0.000755
42,505.696,0.17939,0.8981,1,0.26321,0.000742625,0.000742625,0.000742625
